post url,post title,post price,post location
https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-bushwick-bedroom-bath/7694872649.html,Renovated Bushwick 3 Bedroom 1 Bath,"$2,850",Bushwick
https://newyork.craigslist.org/brk/apa/d/brooklyn-williamsburg-bed-25-bath/7694870685.html,Williamsburg 2 Bed 2.5 Bath Duplex Finished Basement Private Backyard,"$3,800",Williamsburg
https://newyork.craigslist.org/brk/apa/d/brooklyn-super-dealwiliamsburg-1ba-br/7694861302.html,SUPER DEAL!!!’WILIAMSBURG!!!!!! 1BA 1 BR,"$3,000",Williamsburg
https://newyork.craigslist.org/brk/apa/d/brooklyn-fort-greene-brand-new/7694859430.html,FORT GREENE Brand New Building💥ASAP MOVE IN🔥MUST SEE💥NO FEE,"$2,735","Fort Greene @ F,A,C,R,G, Subway Lines"
https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-duplex-double-height/7694857829.html,💥Huge Duplex Double Height Ceiling 💥Private Deck,"$4,000","Bedford Stuyvesant @ J,M,Z, Subway Lines"
https://newyork.craigslist.org/brk/apa/d/brooklyn-williamsburg-bed-bath-in-unit-d/7694856945.html,Williamsburg 1 bed /1 bath w/ in-unit W/D,"$4,100",williamsburg
https://newyork.craigslist.org/mnh/apa/d/new-york-bed-bath-downtown-manhattan/7694855308.html,1 bed/1 bath downtown manhattan,"$3,750",Downtown
https://newyork.craigslist.org/mnh/apa/d/brooklyn-luxe-bed-bath-in-fidi-amenity/7694854784.html,Luxe 1 bed/1 bath in FiDi Amenity Building,"$3,950",Downtown
https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-bed-factory-conversion/7694854619.html,"No Fee, 1 bed, Factory Conversion, Great Amenities, G Train","$2,750",Bed-Stuy
https://newyork.craigslist.org/que/apa/d/little-neck-douglaston-one-bedroom/7694854219.html,Douglaston One Bedroom,"$1,900",Douglaston
https://newyork.craigslist.org/que/apa/d/oakland-gardens-bayside-bedrooms/7694853377.html,Bayside 3 Bedrooms,"$2,200",Orkland Garden
https://newyork.craigslist.org/brk/apa/d/brooklyn-brownstone-new-renovated/7694852778.html,Brownstone New Renovated Studio🔹️Central Units 🔹️NO Fee!,"$2,150","Bedford Stuyvesant @ A,C,G,  Subway Lines"
https://newyork.craigslist.org/brx/apa/d/englewood-beautiful-large-brs-apt/7694852720.html,BEAUTIFUL LARGE 3 Br’s apt,"$2,350",Yonkers
https://newyork.craigslist.org/jsy/apa/d/jersey-city-br-bedroom-apartment-2nd/7694847575.html,"$2,000 / 2br - 2 bedroom apartment. 2nd floor Avail Feb 1. $2000","$2,000",Jersey City
https://newyork.craigslist.org/que/apa/d/east-elmhurst-rento-apto-de/7694846412.html,RENTO apto de 3 habitaciones  en  east elmhurst,"$3,300",East Elmhurst
